Opening,Strategy,Opponent,Wins,Losses,Draws,Win %,Games Played
No Opening,Adaptive,MCTS5sec,14,16,0,46.67,30
No Opening,MCTS5sec,Adaptive,16,14,0,53.33,30
No Opening,Adaptive,MCTS1sec,17,13,0,56.67,30
No Opening,MCTS1sec,Adaptive,13,17,0,43.33,30
No Opening,Minimax2,MCTS5sec,2,19,9,9.52,30
No Opening,MCTS5sec,Minimax2,19,2,9,90.48,30
No Opening,Minimax2,MCTS1sec,1,12,17,7.69,30
No Opening,MCTS1sec,Minimax2,12,1,17,92.31,30
No Opening,MCTS5sec,MCTS1sec,15,12,3,55.56,30
No Opening,MCTS1sec,MCTS5sec,12,15,3,44.44,30
Standard Opening,Random,ShortestPath,0,30,0,0.00,30
Standard Opening,ShortestPath,Random,30,0,0,100.00,30
Standard Opening,Random,Defensive,0,30,0,0.00,30
Standard Opening,Defensive,Random,30,0,0,100.00,30
Standard Opening,Random,Balanced,0,30,0,0.00,30
Standard Opening,Balanced,Random,30,0,0,100.00,30
Standard Opening,Random,Adaptive,0,30,0,0.00,30
Standard Opening,Adaptive,Random,30,0,0,100.00,30
Standard Opening,Random,Mirror,3,2,25,60.00,30
Standard Opening,Mirror,Random,2,3,25,40.00,30
Standard Opening,Random,SimulatedAnnealing0.5,5,10,15,33.33,30
Standard Opening,SimulatedAnnealing0.5,Random,10,5,15,66.67,30
No Opening,SimulatedAnnealing0.5,MCTS5sec,0,24,6,0.00,30
No Opening,MCTS5sec,SimulatedAnnealing0.5,24,0,6,100.00,30
No Opening,SimulatedAnnealing0.5,MCTS1sec,0,28,2,0.00,30
No Opening,MCTS1sec,SimulatedAnnealing0.5,28,0,2,100.00,30
No Opening,SimulatedAnnealing1.0,Minimax1,8,15,7,34.78,30
No Opening,Minimax1,SimulatedAnnealing1.0,15,8,7,65.22,30
No Opening,SimulatedAnnealing1.0,Minimax2,9,13,8,40.91,30
No Opening,Minimax2,SimulatedAnnealing1.0,13,9,8,59.09,30
No Opening,SimulatedAnnealing1.0,MCTS5sec,0,29,1,0.00,30
No Opening,MCTS5sec,SimulatedAnnealing1.0,29,0,1,100.00,30
No Opening,SimulatedAnnealing1.0,MCTS1sec,0,27,3,0.00,30
No Opening,MCTS1sec,SimulatedAnnealing1.0,27,0,3,100.00,30
No Opening,Minimax1,Minimax2,0,15,15,0.00,30
No Opening,Minimax2,Minimax1,15,0,15,100.00,30
No Opening,Minimax1,MCTS5sec,2,20,8,9.09,30
No Opening,MCTS5sec,Minimax1,20,2,8,90.91,30
No Opening,Minimax1,MCTS1sec,4,15,11,21.05,30
No Opening,MCTS1sec,Minimax1,15,4,11,78.95,30
Standard Opening,Minimax1,Minimax2,15,0,15,100.00,30
Standard Opening,Minimax2,Minimax1,0,15,15,0.00,30
Standard Opening,Minimax1,MCTS5sec,1,19,10,5.00,30
Standard Opening,MCTS5sec,Minimax1,19,1,10,95.00,30
Standard Opening,Minimax1,MCTS1sec,0,15,15,0.00,30
Standard Opening,MCTS1sec,Minimax1,15,0,15,100.00,30
Standard Opening,Minimax2,MCTS5sec,3,15,12,16.67,30
Standard Opening,MCTS5sec,Minimax2,15,3,12,83.33,30
Standard Opening,Minimax2,MCTS1sec,2,20,8,9.09,30
Standard Opening,MCTS1sec,Minimax2,20,2,8,90.91,30
Standard Opening,MCTS5sec,MCTS1sec,14,16,0,46.67,30
Standard Opening,MCTS1sec,MCTS5sec,16,14,0,53.33,30
